id,topic,pollingfirm,date,question,correct,incorrect,dk,noptions,explicitdk,matter.of.opinion,n,mode,lcongenial.options,rcongenial.options,correct.valence ,prompt.type ,inference,academic_comm,footnotes
1,Obama Citizenship,Selzer & Co. (Bloomingberg),09/21-24/16,Do you think President Barack Obama was or was not born in the United States?,75,11,14,3,N,Y,1002,telephone,,,,DYT,N,1,
2,Obama Citizenship,Opinion Research Corporation (CNN),04/29/11-05/01/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?**",80,17,2,5,N,Y,"1,034",telephone,,,,DYT,N,1,"definitely born in US (58%), probably born in US (22%), probably born in another country (10%), definitely born in another country (7%), no opinion (2%)"
3,Obama Citizenship,Gallup Organization (Gallup/CNN/USA Today),05/05-08/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?",65,13,21,6,Y,Y,1018,telephone,,,,DYT,N,1,"definitely born in US (47%), probably born in US (18%), probably born in another country (8%), definitely born in another country (5%), don't know enough to say (20%), no answer (1%)"
4,Obama Citizenship,Gallup Organization (Gallup/CNN/USA Today),04/20-23/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?",56,24,20,6,Y,Y,1013,telephone,,,,DYT,N,1,"definitely born in US (38%), probably born in US (18%), probably born in another country (15%), definitely born in another country (9%), don't know enough to say (19%), no answer (1%)"
5,Obama Citizenship,CBS News/New York Times,04/15-20/11,"According to the Constitution, American presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?",57,25,18,3,Y,Y,1224,telephone,,,,DYT,Y,1,
6,Obama Citizenship,Anderson Robbins Research/Shaw & Co. Research (Fox News),04/03-05/11,"Do you think Barack Obama was born in the United States, or not?",67,24,10,3,Y,Y,914,telephone,,,,DYT,N,1,
7,Obama Citizenship,Opinion Research Corporation (CNN),03/11-13/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",72,25,3,5,Y,Y,1023,telephone,,,,DYT,N,1,"definitely born in the US (46%), probably born in the US (26%), probably born in another country (15%), definitely born in another country (10%), don't know/undecided/refused (3%)"
8,Obama Citizenship,CBS News,06/01-03/10,"Do you think Barack Obama was born in the United States, or do you think he was born in another country?...Hawaii, Kansas, someplace else in the US, not sure which state in the US, Kenya, Indonesia, someplace else outside the US, not sure which country",39,48,13,9,Y,Y,960,telephone,,,,DYT,N,1,"Hawaii (39%), Kansas (1%), someplace else in the US (3%), not sure which state in the US (20%), Kenya (6%), Indonesia (2%), someplace else outside the US (5%), not sure which country (11%), don't know/no answer (13%)"
9,Obama Citizenship,Program on International Policy Attitudes (Knowledge Networks),11/06-15/10,"As you may know, some people have suggested that President (Barack) Obama was not born in the United States. Do you think Obama was not born in the US, Obama was born in the US, or it is not clear whether Obama was born in the US or not?",55,15,30,4,Y,Y,848,online,,,,DYT,Y,1,
10,Obama Citizenship,Opinion Research Corporation (CNN),07/16-21/10,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",71,27,2,5,Y,Y,1018,telephone,,,,DYT,N,1,"definitely born in the US (42%), probably born in the US (29%), probably born in another country (16%), definitely born in another country (11%), no opinion (2%)"
11,Obama Citizenship,CBS News/New York Times,04/05-12/10,"According to the Constitution, American Presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?",58,20,22,3,Y,Y,1580,telephone,,,,DYT,Y,1,
12,Trump Citizenship,Gallup Organization (Gallup/CNN/USA Today),04/20-23/11,"Do you think¡¦ Donald Trump was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?",63,7,31,6,Y,Y,1013,telephone,,,,DYT,N,1,"definitely born in the United States (43%), probably born in the United States (20%), probably born in another country (4%), definitely born in another country (3%), don't know enough to say (29%), refused (2%)"
13,Palin Citizenship,Gallup Organization (Gallup/CNN/USA Today),04/20-23/11,"Do you think¡¦ Sarah Palin was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?",72,3,25,6,Y,Y,1013,telephone,,,,DYT,N,1,"definitely born in the United States (55%), probably born in the United States (17%), probably born in another country (1%), definitely born in another country (2%), don't know enough to say (23%), refused (2%)"
14,Obama Religion,ORC International (CNN),09/04-08/15,"Do you happen to know what religion Barack Obama is? Is he Pretestant, Catholic, Jewish, Mormon, Muslim, something else, or not religious?",39,48,14,8,"? (""No opinion"")",Y,1012,telephone,,,,DYHTK,N,1,
15,Obama Religion,Gfk Knowledge Networks (Associated Press),08/30/12-09/11/12,"Do you happen to know the religion of each of the following people? If you don't know, you can mark that too¡¦Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion¡¦Barack Obama",28,35,37,7,Y,Y,1071,online,,,,DYHTK,N,1,dk (37%) = Don't know (35%) + Refused/Not answered (2%) 
16,Obama Religion,Princeton Survey Research Associates International (Pew Center for the People and the Press),06/28/12-07/09/12,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnonistic, or something else?",45,17,37,10,Y,Y,2973,telephone,,,,DYHTK,N,1,dk (37%) = Don't know (36%) + Refused (1%) 
17,Obama Religion,Hart and McInturff Research Companies (NBC News/Wall Street Journal),06/20-24/12,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?",43,17,40,7,Y,Y,1000,telephone,,,,DYK,N,1,
18,Obama Religion,Public Religion Research Institute (PRRI/Religion News Service),05/02-06/12,"Do you happen to know what¡¦Barack Obama's religion is? Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?",25,33,41,10,Y,Y,1006,telephone,,,,DYHTK,N,1,total adds up to 99%..
19,Obama Religion,Latinos Decisions (impreMedia),11/27/11-12/04-11,"Do you happen to know President Barack Obama's religion? Just tell me what you think his religion is¡¦Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Jehovah's Witness, Church of Christ, Church of Jesus Crist of Latter Day Saints",11,39,50,9,Y,Y,500,telephone,,,,DYHTK,N,1,dk (50%) = Don't know (48%) + Refused (2%) 
20,Obama Religion,Princeton Survey Research Associates International (Newsweek),08/25-26/10,"As far as you know, what is Barack Obama's religion? Is he a Christian, a Muslim, or something else?",42,34,24,4,Y,Y,1029,telephone,,,,AFYK,N,1,
21,Obama Religion,"Abt SRBI, Inc. (Time Magazine)",08/16-17/10,Do you personally believe that Barack Obama is a Muslim or a Christian?,44.71,30.44,24.85,2,Y,Y,"1,002",telephone,,,,DYPB,N,1,
