rid,st.date,cmp.date,lang,useless,useless,useless,arep.id,useless,year,gender,ethnic,ethnic2,born.in.us,us.citizen,years.in.us,born.ctry,born.city,born.us.city,born.us.state,zip,party,libcon,occ,occ2,manager,psych.course,soc.study,major,educ,arep.prev
88822,2010.02.18,2010.02.18,en,,,,FY958357,,1945,Male,American Indian Native American,,No,Yes,2,,,,,,Independent,Neither liberal nor conservative,,,Yes,Yes,Yes,,Masters degree (MA or MS),No
88823,2010.02.18,2010.02.18,en,,,,FY916757,,2000,Male,Asian or Pacific Islander,,No,No,10,,,,,,Other,Very liberal,,,No,No,Yes,,Four year college degree (BA or BS),No
88828,2010.02.18,2010.02.18,en,,,,FY982538,,1958,Female,White Caucasian,,Yes,,,,,,Pennsylvania,,Democrat,Slightly conservative,,,Yes,Yes,No,,PhD MD MBA Law degree,No
88829,2010.02.18,2010.02.18,en,,,,FY992215,,1972,Female,Asian or Pacific Islander,,No,Yes,34,,,,,,Democrat,Very liberal,,,No,No,Yes,,Masters degree (MA or MS),No
88830,2010.02.18,2010.02.18,en,,,,FY959528,,1957,Female,White Caucasian,,Yes,,,,,,Rhode Island,,Democrat,Somewhat liberal,,,Yes,Yes,No,,PhD MD MBA Law degree,No
88831,2010.02.18,2010.02.18,en,,,,FY963040,,1972,Female,Asian or Pacific Islander,,No,Yes,26,,,,,,Democrat,Very liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),Yes
88832,2010.02.18,2010.02.18,en,,,,FY973419,,1975,Male,Latino or Hispanic,,No,No,2,,,,,"",Independent,Slightly liberal,,,Yes,No,No,,PhD MD MBA Law degree,No
88833,2010.02.18,2010.02.18,en,,,,FY917117,,1986,Female,White Caucasian,,No,Yes,18,,,,,,Democrat,Somewhat liberal,,,No,Yes,Yes,,Four year college degree (BA or BS),No
88834,2010.02.18,2010.02.18,en,,,,FY946593,,1968,Male,White Caucasian,,No,No,17,,,,,,Independent,Somewhat liberal,,,Yes,No,No,,Masters degree (MA or MS),Yes
88835,2010.02.18,2010.02.18,en,,,,FY999775,,1966,Female,#NAME?,,Yes,,,,,,California,,Democrat,Somewhat liberal,,,No,No,No,,Masters degree (MA or MS),No
88836,2010.02.18,2010.02.18,en,,,,FY959928,,1983,Female,#NAME?,,Yes,,,,,,Colorado,,Democrat,Somewhat liberal,,,No,No,Yes,,Masters degree (MA or MS),No
88837,2010.02.18,2010.02.18,en,,,,FY988153,,1959,Male,Asian or Pacific Islander,,Yes,,,,,,Michigan,,Democrat,Somewhat liberal,,,No,Yes,No,,Four year college degree (BA or BS),No
88838,2010.02.18,2010.02.18,en,,,,FY932078,,1983,Female,Black or African American,,Yes,,,,,,California,,Other,Very liberal,,,Yes,Yes,Yes,,PhD MD MBA Law degree,No
88839,2010.02.18,2010.02.18,en,,,,FY930562,,1955,Female,White Caucasian,,Yes,,,,,,California,,Democrat,Somewhat liberal,,,Yes,Yes,No,,Four year college degree (BA or BS),No
88840,2010.02.18,2010.02.18,en,,,,FY916874,,1974,Male,White Caucasian,,Yes,,,,,,California,,Democrat,Slightly liberal,,,No,No,Yes,,Masters degree (MA or MS),No
