study,item,cue,n,correct,partial,incorrect,dk
alumni,sarkozy,name,184,0.7391304347826086,0.10869565217391304,0.043478260869565216,0.10869565217391304
alumni,sarkozy,photo,155,0.27741935483870966,0.03225806451612903,0.32903225806451614,0.36129032258064514
staff,sarkozy,photo,80,0.1875,0.025,0.2,0.5875
staff,sarkozy,name,93,0.6989247311827957,0.021505376344086023,0.0967741935483871,0.1827956989247312
alumni,napolitano,name,184,0.47282608695652173,0.17391304347826086,0.125,0.22826086956521738
alumni,napolitano,photo,155,0.17419354838709677,0.08387096774193549,0.2903225806451613,0.45161290322580644
staff,napolitano,photo,80,0.1,0.05,0.2625,0.5875
staff,napolitano,name,93,0.4946236559139785,0.17204301075268819,0.08602150537634409,0.24731182795698925
alumni,reid,name,184,0.42391304347826086,0.23369565217391305,0.10869565217391304,0.23369565217391305
alumni,reid,photo,155,0.1935483870967742,0.22580645161290322,0.22580645161290322,0.3548387096774194
staff,reid,photo,80,0.1875,0.1625,0.2,0.45
staff,reid,name,93,0.3118279569892473,0.3118279569892473,0.17204301075268819,0.20430107526881722
alumni,merkel,name,184,0.6413043478260869,0.14130434782608695,0.04891304347826087,0.16847826086956522
alumni,merkel,photo,155,0.3225806451612903,0.03225806451612903,0.3032258064516129,0.3419354838709677
staff,merkel,photo,80,0.1625,0.05,0.3,0.4875
staff,merkel,name,93,0.43010752688172044,0.13978494623655913,0.053763440860215055,0.3763440860215054
alumni,mcconnell,name,184,0.30978260869565216,0.1793478260869565,0.15760869565217392,0.3532608695652174
alumni,mcconnell,photo,155,0.07741935483870968,0.14838709677419354,0.23225806451612904,0.5419354838709678
staff,mcconnell,photo,80,0.075,0.075,0.275,0.575
staff,mcconnell,name,93,0.12903225806451613,0.23655913978494625,0.1827956989247312,0.45161290322580644
mturk,mcconnell,name,544,0.2610294117647059,0.19669117647058823,0.12683823529411764,0.41544117647058826
mturk,mcconnell,photo,515,0.2407766990291262,0.1087378640776699,0.12233009708737864,0.5281553398058253
mturk,schumer,name,544,0.16727941176470587,0.22426470588235295,0.11029411764705882,0.49816176470588236
mturk,schumer,photo,515,0.17281553398058253,0.10679611650485436,0.10679611650485436,0.6135922330097088
mturk,merkel,name,544,0.5238970588235294,0.08088235294117647,0.05330882352941176,0.34191176470588236
mturk,merkel,photo,515,0.4077669902912621,0.04854368932038835,0.1203883495145631,0.42330097087378643
mturk,putin,name,544,0.8014705882352942,0.10294117647058823,0.04044117647058824,0.05514705882352941
mturk,putin,photo,515,0.6524271844660194,0.1029126213592233,0.1087378640776699,0.13592233009708737
mturk,roberts,name,544,0.40441176470588236,0.125,0.06066176470588235,0.4099264705882353
mturk,roberts,photo,515,0.1766990291262136,0.036893203883495145,0.1029126213592233,0.683495145631068
mturk,pelosi,name,544,0.27941176470588236,0.22977941176470587,0.22794117647058823,0.26286764705882354
mturk,pelosi,photo,515,0.23883495145631067,0.14563106796116504,0.21553398058252426,0.4
