feature,survey,k,n,share,lower,upper
explicit_dk,Combined,0,102,0,0,0.03629446214646317
explicit_dk,ANES 2012,0,59,0,0,0.061129370526788344
explicit_dk,ANES 2016,0,43,0,0,0.08200980322579111
dk_probe,Combined,9,102,0.08823529411764706,0.04711555975757314,0.15924458553951418
dk_probe,ANES 2012,4,59,0.06779661016949153,0.02667861897130437,0.16175524368744487
dk_probe,ANES 2016,5,43,0.11627906976744186,0.0507042773980417,0.24479161810082126
srew,Combined,13,102,0.12745098039215685,0.07601833536259132,0.20592655800144005
srew,ANES 2012,8,59,0.13559322033898305,0.07034174672533723,0.24539660806537295
srew,ANES 2016,5,43,0.11627906976744186,0.0507042773980417,0.24479161810082126
dyt,Combined,7,102,0.06862745098039216,0.033638220876867145,0.13492955038674814
dyt,ANES 2012,4,59,0.06779661016949153,0.02667861897130437,0.16175524368744487
dyt,ANES 2016,3,43,0.06976744186046512,0.0240115895772145,0.1860898690124197
wwys,Combined,6,102,0.058823529411764705,0.02723563934537454,0.12243594490150472
wwys,ANES 2012,4,59,0.06779661016949153,0.02667861897130437,0.16175524368744487
wwys,ANES 2016,2,43,0.046511627906976744,0.012849260094380213,0.1545549800406396
wipo,Combined,2,102,0.0196078431372549,0.005393752169586284,0.0686930840103489
wipo,ANES 2012,1,59,0.01694915254237288,0.0029982339183556306,0.08995725964142293
wipo,ANES 2016,1,43,0.023255813953488372,0.004117087274333769,0.12058993440607171
options_2,Combined,11,102,0.10784313725490197,0.06129319723302053,0.18285932209753886
options_2,ANES 2012,5,59,0.0847457627118644,0.03674203301763675,0.1835179526741027
options_2,ANES 2016,6,43,0.13953488372093023,0.0655572342796488,0.2726358796738285
options_3,Combined,9,102,0.08823529411764706,0.04711555975757314,0.15924458553951418
options_3,ANES 2012,4,59,0.06779661016949153,0.02667861897130437,0.16175524368744487
options_3,ANES 2016,5,43,0.11627906976744186,0.0507042773980417,0.24479161810082126
options_4,Combined,19,102,0.18627450980392157,0.12262079699482119,0.27270121846962636
options_4,ANES 2012,14,59,0.23728813559322035,0.1469461859246241,0.35974890706402746
options_4,ANES 2016,5,43,0.11627906976744186,0.0507042773980417,0.24479161810082126
options_5,Combined,0,102,0,0,0.03629446214646317
options_5,ANES 2012,0,59,0,0,0.061129370526788344
options_5,ANES 2016,0,43,0,0,0.08200980322579111
options_7,Combined,46,102,0.45098039215686275,0.35794619944555056,0.5475728654707696
options_7,ANES 2012,28,59,0.4745762711864407,0.35265876715068556,0.5996020482998292
options_7,ANES 2016,18,43,0.4186046511627907,0.2838455092784919,0.5667142261303577
options_11,Combined,4,102,0.0392156862745098,0.015354071528489173,0.09652513868491805
options_11,ANES 2012,2,59,0.03389830508474576,0.009345909091661317,0.11543570750110749
options_11,ANES 2016,2,43,0.046511627906976744,0.012849260094380213,0.1545549800406396
options_open,Combined,13,102,0.12745098039215685,0.07601833536259132,0.20592655800144005
options_open,ANES 2012,6,59,0.1016949152542373,0.04744797246240466,0.20463813626232502
options_open,ANES 2016,7,43,0.16279069767441862,0.08116627347062007,0.2997240589374716
dke_preamble,Combined,0,102,0,0,0.03629446214646317
dke_preamble,ANES 2012,0,59,0,0,0.061129370526788344
dke_preamble,ANES 2016,0,43,0,0,0.08200980322579111
dkd_preamble,Combined,0,102,0,0,0.03629446214646317
dkd_preamble,ANES 2012,0,59,0,0,0.061129370526788344
dkd_preamble,ANES 2016,0,43,0,0,0.08200980322579111
happen_to_know,Combined,5,102,0.049019607843137254,0.021117596548914312,0.10965780068122893
happen_to_know,ANES 2012,3,59,0.05084745762711865,0.01744271747299006,0.13916502215276896
happen_to_know,ANES 2016,2,43,0.046511627906976744,0.012849260094380213,0.1545549800406396
self_placement_dk_filter,Combined,44,102,0.43137254901960786,0.33947646820687194,0.5282502226759761
self_placement_dk_filter,ANES 2012,26,59,0.4406779661016949,0.321502117676121,0.5671064517084131
self_placement_dk_filter,ANES 2016,18,43,0.4186046511627907,0.2838455092784919,0.5667142261303577
