study,item,n_mc,mc_correct,mc_corrected,mc_se,mc_corrected_se,n_scale,scale_known,certain,top,scale_se,gap,gap_se,gap_corrected,gap_corrected_se
alumni,gates,176,0.5,0.4810606060606061,0.03779644730092272,0.03963359502887375,163,0.27607361963190186,0.27607361963190186,0.5276073619631901,0.0351238528370505,0.22392638036809814,0.05159705870192805,0.20498698642870422,0.05295759523459828
staff,gates,83,0.30120481927710846,0.26907630522088355,0.0506639425494172,0.054045178247868135,90,0.16666666666666666,0.16666666666666666,0.5111111111111111,0.039503788594998146,0.1345381526104418,0.06424472264714785,0.10240963855421689,0.06694348814636226
alumni,breyer,176,0.5170454545454546,0.5,0.03777447758771519,0.03947710169758613,163,0.2883435582822086,0.2883435582822086,0.5214723926380368,0.035590395316173425,0.228701896263246,0.05189978223255177,0.2116564417177914,0.05315183719499315
staff,breyer,83,0.3253012048192771,0.3052208835341365,0.05173576521112388,0.0539686966068541,90,0.18888888888888888,0.18888888888888888,0.43333333333333335,0.041490472243665255,0.13641231593038822,0.06631778561579761,0.11633199464524763,0.06807407362898904
alumni,aca_payroll,176,0.3352272727272727,0.25378787878787873,0.03568512682153708,0.04126329742062981,163,0.0736196319018405,0.12269938650306748,0.37423312883435583,0.020517950842934476,0.2616076408254322,0.04116326740022299,0.18016824688603822,0.04608303398015837
staff,aca_payroll,83,0.2891566265060241,0.20080321285140568,0.050066428050419214,0.05825572662099093,90,0.08888888888888889,0.1111111111111111,0.37777777777777777,0.030165769409316274,0.20026773761713518,0.058451867906713174,0.11191432396251678,0.06560261677856816
alumni,aca_providers,176,0.39204545454545453,0.32575757575757575,0.03690496026403128,0.04195394862928103,163,0.024539877300613498,0.049079754601226995,0.4049079754601227,0.01215579720526721,0.367505577244841,0.03885536639623039,0.3012176984569622,0.043679482726835646
staff,aca_providers,83,0.3493975903614458,0.26907630522088355,0.05265151356440474,0.06086463329305536,90,0.044444444444444446,0.08888888888888889,0.45555555555555555,0.0218444798782516,0.30495314591700134,0.05700318571601096,0.2246318607764391,0.06466594843539714
mturk,aca_payroll,557,0.236983842010772,0.10831837223219627,0.01803386605489646,0.021960537783426128,502,0.055776892430278883,0.10358565737051793,0.2788844621513944,0.010252873673515612,0.1812069495804931,0.02074467988306921,0.05254147980191739,0.024236060700995866
mturk,aca_providers,557,0.26032315978456017,0.18013165769000597,0.01860972768484838,0.0213991799740603,502,0.027888446215139442,0.043824701195219126,0.25298804780876494,0.007356163082415939,0.23243471356942072,0.020010874538593043,0.15224321147486652,0.02262825753029434
mturk,travel_ban,557,0.77737881508079,0.718132854578097,0.01764258424032425,0.02249750872527635,502,0.2729083665338645,0.601593625498008,0.3745019920318725,0.019901423233676285,0.5044704485469255,0.026595627937742845,0.4452244880442324,0.03003671995358008
mturk,merkel_name,270,0.6666666666666666,0.6506172839506172,0.028742040903948485,0.030407004349239788,274,0.6204379562043796,0.635036496350365,0.7445255474452555,0.029370358254122455,0.04622871046228705,0.0410940732867861,0.03017932774623766,0.042275333913171946
mturk,merkel_photo,284,0.6971830985915493,0.6772300469483568,0.02731305397460916,0.029434816246717094,231,0.45021645021645024,0.46320346320346323,0.670995670995671,0.03280519564966534,0.24696664837509902,0.042687044627529966,0.22701359673190652,0.04407481445327731
mturk,mcconnell_name,270,0.562962962962963,0.5382716049382715,0.03024286239765401,0.03234669848962293,274,0.4635036496350365,0.4708029197080292,0.6605839416058394,0.03018065365398546,0.09945931332792651,0.042725900587176166,0.07476795530323505,0.04424003569348018
mturk,mcconnell_photo,284,0.5598591549295775,0.5316901408450706,0.029508151929367534,0.03182074464036373,231,0.35064935064935066,0.35064935064935066,0.5281385281385281,0.03146387739300974,0.20920980428022684,0.04313590860163938,0.18104079019571995,0.04474969687125921
