survey,item,key,n,correct_before,se_before,correct_after,se_after,diff,se_diff,p_paired,dk_before,dk_after,n_probed,unprobed_dk,converted,conversion_rate,fielded
NAES 2004,cut_permanent,codebook,21141,0.6515302019772007,0.0032770803126072204,0.6540371789413935,0.0032715470468335163,0.0025069769641927753,3.439278477285669e-4,2.22044604925032e-16,0.10368478312284188,0.09914384371600209,2146,46,53,0.024697110904007457,2004-07-08 to 2004-10-24
NAES 2004,kerry_income,codebook,31940,0.33484658735128364,0.0026406837593076814,0.33910457107075764,0.0026489010785436438,0.004257983719474001,3.643409269137629e-4,2.295887403949805e-41,0.25015654351909833,0.23528490920475892,7783,207,136,0.017473981755107285,2004-04-19 to 2004-10-25
NAES 2004,repeal_wealthy,verified,2151,0.48628544862854484,0.01077671420587764,0.4941887494188749,0.010780042284402333,0.007903300790330081,0.0019092423214952538,1.525878906250002e-5,0.3393770339377034,0.3286843328684333,718,12,17,0.023676880222841225,2004-01-30 to 2004-03-02
NAES 2004,repeal_wealthy,codebook,2151,0.301720130172013,0.009896843417635356,0.30636913063691307,0.009939544977544028,0.004649000464900077,0.0014667217023364744,0.0019531250000000004,0.3393770339377034,0.3286843328684333,718,12,10,0.013927576601671309,2004-01-30 to 2004-03-02
NAES 2004,repeal_all,verified,2061,0.22852983988355166,0.009248941404900395,0.23435225618631733,0.009330610858048255,0.005822416302765671,0.0016758865463498039,4.882812500000001e-4,0.44395924308588064,0.43231441048034935,906,9,12,0.013245033112582781,2004-01-16 to 2004-02-17
NAES 2004,repeal_all,codebook,2061,0.008248423095584668,0.0019922687313035084,0.008248423095584668,0.0019922687313035084,0,0,1,0.44395924308588064,0.43231441048034935,906,9,0,0,2004-01-16 to 2004-02-17
NAES 2008,r_opposed_cuts_1,codebook,5200,0.3,0.0063548890930224256,0.3071153846153846,0.00639704747321776,0.0071153846153846345,0.0011655929423028057,1.4551915228366849e-11,0.37711538461538463,0.3546153846153846,1961,0,37,0.018867924528301886,"2008-01-14 to 2008-01-27, 2008-01-30 to 2008-02-06"
NAES 2008,r_opposed_cuts_2,codebook,6824,0.3150644783118406,0.005623478729000663,0.3201934349355217,0.005647800918143092,0.005128956623681125,8.647257651027749e-4,5.8207660913467394e-11,0.24809495896834702,0.23856975381008205,1693,0,35,0.02067336089781453,2008-02-07 to 2008-03-04
NAES 2008,d_eliminate_some_1,codebook,3817,,,,,,,,0.24600471574534974,0.2276657060518732,939,0,,,2008-01-14 to 2008-01-29
NAES 2008,d_eliminate_some_2,codebook,20895,0.4086623594161283,0.0034007827837306457,0.4106245513280689,0.003403276922424251,0.001962191911940636,3.0614209492459837e-4,9.094947017729307e-13,0.168030629337162,0.16123474515434313,3511,0,41,0.011677584733694105,2008-01-30 to 2008-05-22
NAES 2008,eliminate_some,codebook,28325,0.6514386584289497,0.002831336017606892,0.6536981465136805,0.002827034285453586,0.002259488084730865,2.82116749747536e-4,1.0842021724855027e-19,0.13479258605472197,0.13062665489849956,3818,0,64,0.01676270298585647,2008-05-23 to 2008-11-03
NAES 2008,d_working_families,codebook,14150,0.19342756183745582,0.0033204936003187555,0.19992932862190813,0.0033622051507197753,0.006501766784452301,6.756488211711967e-4,4.038967834731592e-28,0.33752650176678445,0.31646643109540634,4776,0,92,0.019262981574539362,2008-02-26 to 2008-05-22
