study,item,cue,code,answer,responses
mturk,mcconnell,name,correct,senate majority leader,102
mturk,mcconnell,photo,correct,senate majority leader,74
alumni,mcconnell,name,correct,senate minority leader,29
alumni,mcconnell,photo,correct,senate minority leader,8
mturk,mcconnell,photo,correct,majority leader of the senate,8
staff,mcconnell,name,correct,senate minority leader,8
mturk,mcconnell,name,correct,majority leader of the senate,6
mturk,mcconnell,photo,correct,leader of the senate,3
staff,mcconnell,photo,correct,senate minority leader,3
alumni,mcconnell,name,correct,minority leader senate,2
mturk,mcconnell,name,correct,majority leader of senate,2
mturk,mcconnell,name,correct,majority leader senate,2
mturk,mcconnell,name,correct,senate majority leader.,2
mturk,mcconnell,photo,correct,majority senate leader,2
mturk,mcconnell,photo,correct,senate leader,2
mturk,mcconnell,photo,correct,senate majority,2
mturk,mcconnell,photo,correct,senate majority leade,2
mturk,mcconnell,photo,correct,us senate majority leader,2
alumni,mcconnell,name,correct,head of repubs in senate,1
alumni,mcconnell,name,correct,head republican in senate,1
alumni,mcconnell,name,correct,minority leader for republicans in senate,1
alumni,mcconnell,name,correct,minority leader in the us senate,1
alumni,mcconnell,name,correct,minority leader of the senate,1
alumni,mcconnell,name,correct,"minority leader of the senate, senator from kentucky",1
alumni,mcconnell,name,correct,minority leader senate--rep.,1
alumni,mcconnell,name,correct,minority leader us senate,1
alumni,mcconnell,name,correct,"minority leader, u.s. senate",1
alumni,mcconnell,name,correct,minority spkr. u.s. senate,1
alumni,mcconnell,name,correct,republican senate leader,1
alumni,mcconnell,name,correct,republican senate minority leader,1
alumni,mcconnell,name,correct,republican senator minority leader,1
alumni,mcconnell,name,correct,"republican senator, minority leader",1
alumni,mcconnell,name,correct,republican. senate minority leader,1
alumni,mcconnell,name,correct,senatae minority leader,1
alumni,mcconnell,name,correct,"senate leader, ky senator",1
alumni,mcconnell,name,correct,senate minority leader (or is he the house minority leader?),1
alumni,mcconnell,name,correct,senate minority leader (r-ky),1
alumni,mcconnell,name,correct,senate minorty leader,1
alumni,mcconnell,name,correct,senate monority leader,1
alumni,mcconnell,name,correct,senate republican head,1
alumni,mcconnell,name,correct,senate republican leader,1
alumni,mcconnell,name,correct,u.s. senate minority leader,1
alumni,mcconnell,name,correct,us senate minority leader,1
alumni,mcconnell,name,correct,us senator from kentucky --republican and minority leader,1
alumni,mcconnell,photo,correct,minority leader us senate,1
alumni,mcconnell,photo,correct,semate minority leader,1
alumni,mcconnell,photo,correct,u.s. senator (senator minority leader),1
alumni,mcconnell,photo,correct,us senate minority leader,1
mturk,mcconnell,name,correct,house majority leader/senator from kentucky,1
mturk,mcconnell,name,correct,majority leader in senate,1
mturk,mcconnell,name,correct,majority leader of the senate.,1
mturk,mcconnell,name,correct,majority leader of the u.s. senate,1
mturk,mcconnell,name,correct,majority leader of the us senate,1
mturk,mcconnell,name,correct,majority leader of us senate,1
mturk,mcconnell,name,correct,majority senate leader,1
mturk,mcconnell,name,correct,majority senator,1
mturk,mcconnell,name,correct,rebulican senate leader,1
mturk,mcconnell,name,correct,republican senate leader,1
mturk,mcconnell,name,correct,republican senate majority leader,1
mturk,mcconnell,name,correct,senate leader,1
mturk,mcconnell,name,correct,senate leader r kentucky,1
mturk,mcconnell,name,correct,senate leader republican,1
mturk,mcconnell,name,correct,senate leader- republican,1
mturk,mcconnell,name,correct,senate maj leader republican,1
mturk,mcconnell,name,correct,senate major leader,1
mturk,mcconnell,name,correct,senate majority,1
mturk,mcconnell,name,correct,senate majority leader from kentucky,1
mturk,mcconnell,name,correct,"senate majority leader, kentucky",1
mturk,mcconnell,name,correct,"senate majority leader, republican",1
mturk,mcconnell,name,correct,senate mjority leader,1
mturk,mcconnell,name,correct,"senate, majority leader",1
mturk,mcconnell,name,correct,senator from kentucky - leader of the senate,1
mturk,mcconnell,name,correct,senator of kentucky/majority leader,1
mturk,mcconnell,name,correct,"senator, republican senate or house leader",1
mturk,mcconnell,name,correct,"senator, senate majority leader",1
mturk,mcconnell,name,correct,us senate majority leader,1
mturk,mcconnell,photo,correct,head of the senate,1
mturk,mcconnell,photo,correct,"idiot, i mean, senator and majority leader.",1
mturk,mcconnell,photo,correct,"john boehner, senate majority leader",1
mturk,mcconnell,photo,correct,leader of senate confederates.,1
mturk,mcconnell,photo,correct,majority leader in the senate,1
mturk,mcconnell,photo,correct,majority leader of the senate of us congress,1
mturk,mcconnell,photo,correct,majority leader of the us senate,1
mturk,mcconnell,photo,correct,majority leader of usa senate,1
mturk,mcconnell,photo,correct,majority leader senate,1
mturk,mcconnell,photo,correct,mcconnel senate majority leader,1
mturk,mcconnell,photo,correct,mitch [the turtle] mcconnell senate majority leader,1
mturk,mcconnell,photo,correct,"mitch mcconnell - senate majority leader - often referred to as a ""turtle"" by jon stewart",1
mturk,mcconnell,photo,correct,mitch mcconnell-republican leader in the senate,1
mturk,mcconnell,photo,correct,republican senate majority leader.,1
mturk,mcconnell,photo,correct,senate leader and lowlife,1
mturk,mcconnell,photo,correct,"senate leadership, mitch o'connell tennesse",1
mturk,mcconnell,photo,correct,senate major leader (mcconnell is a corrupt mllionair),1
mturk,mcconnell,photo,correct,senate majority leader and head turtle,1
mturk,mcconnell,photo,correct,senate majority leader mitch mcconnel,1
mturk,mcconnell,photo,correct,senate majority leader mitch mcconnell,1
mturk,mcconnell,photo,correct,senate majority leader of the united states,1
mturk,mcconnell,photo,correct,senate majority leader.,1
mturk,mcconnell,photo,correct,senate majority r kentucky,1
mturk,mcconnell,photo,correct,senate republican leader,1
mturk,mcconnell,photo,correct,senator--head of the republicans in congress,1
