study,item,cue,n,open_correct,probed,probe_correct_rate,gain_se,gain_corrected_se,gain,gain_corrected,combined_corrected
alumni,merkel,name,184,0.6413043478260869,0.14130434782608695,77.84615384615385,0.01752572635059151,0.01777768873655913,0.059782608695652176,0.05615942028985508,0.697463768115942
alumni,merkel,photo,155,0.3225806451612903,0.3032258064516129,82.4468085106383,0.02963804969555758,0.029943495549939397,0.16129032258064516,0.1569892473118279,0.4795698924731182
staff,merkel,photo,80,0.1625,0.425,30.58823529411765,0.04150548995256572,0.042323410744485326,0.1625,0.15416666666666667,0.31666666666666665
staff,merkel,name,93,0.43010752688172044,0.27956989247311825,28.615384615384617,0.029233283218071032,0.030814586151293743,0.08602150537634409,0.06810035842293903,0.4982078853046595
alumni,mcconnell,name,184,0.30978260869565216,0.28804347826086957,10.415094339622641,0.009361739384660315,0.010261914711966625,0.016304347826086956,0.007246376811594181,0.31702898550724634
alumni,mcconnell,photo,155,0.07741935483870968,0.45161290322580644,19.92857142857143,0.018845411459800485,0.019010419053032256,0.05806451612903226,0.055913978494623665,0.13333333333333336
staff,mcconnell,photo,80,0.075,0.5125,7.8048780487804885,0.02452072231368419,0.027027490302791914,0.05,0.025000000000000015,0.1
staff,mcconnell,name,93,0.12903225806451613,0.3225806451612903,12.4,0.021151839225551416,0.022925915662188795,0.043010752688172046,0.025089605734767033,0.15412186379928317
mturk,merkel,name,270,0.4777777777777778,0.5222222222222223,97.6595744680851,0.023865318862285313,0.02471887951719304,0.18888888888888888,0.17283950617283955,0.6506172839506174
mturk,merkel,photo,284,0.44366197183098594,0.5563380281690141,129.41772151898732,0.025859648707206646,0.026954883012851157,0.2535211267605634,0.23356807511737085,0.6772300469483568
mturk,mcconnell,name,270,0.22962962962962963,0.7703703703703704,116.82692307692308,0.02874204090394849,0.030259344747646324,0.3333333333333333,0.30864197530864196,0.5382716049382716
mturk,mcconnell,photo,284,0.2640845070422535,0.7359154929577465,115.50239234449761,0.027222276650339036,0.028764098649208106,0.2992957746478873,0.2723004694835681,0.5363849765258216
